
term,week,name,day,time,venue,inCharge,boyInCharge,googleClassroomLink
Autumn 2025,,Students leave for the German Exchange program to Hittorf-Gymnasium,Thu,,,,,
Autumn 2025,,G PIE Conference begins,Sun,,,,,
Autumn 2025,,"Inspection of the academic spaces by HM, DHM, Bursar, DEA",Wed,,,,,
Autumn 2025,,G PIE Conference concludes,Fri,,,,,
Autumn 2025,,Housemasters' Council Meeting,Sat,,,,,
Autumn 2025,,"Inspection of the boarding houses by HM, DHM, Bursar, DEP",Sat,,,,,
Autumn 2025,,Staff meeting,Sun,,,,,
Autumn 2025,,Students return after Summer Vacation,Mon,,,,,
Autumn 2025,,Autumn Term 2025 begins,Tue,,,,,
Autumn 2025,,Delegation leaves for ISSC Hong Kong,Tue,,,,,
Autumn 2025,,"School team leaves for IPSC Chess at Genesis Global School, Noida",Tue,,,,,
Autumn 2025,,July assessment begins,Wed,,,,,
Autumn 2025,,Students return from the German Exchange program,Wed,,,,,
Autumn 2025,,Academic Council Meeting,Fri,,,,,
Autumn 2025,,Yearbook photographs,Fri,,,,,
Autumn 2025,,Yearbook photographs,Sat,,,,,
Autumn 2025,,BSAI AGM,Sat,,,,,
Autumn 2025,,School team returns from IPSC Chess,Sat,,,,,
Autumn 2025,,Declaration of the results - IBDP 2025,Sat,,,,,
Autumn 2025,,NO OUTING,Sun,,,,,
Autumn 2025,,BSAI AGM,Sun,,,,,
Autumn 2025,,Delegation returns from ISSC,Mon,,,,,
Autumn 2025,,July assessment ends,Tue,,,,,
Autumn 2025,,Special Assembly,Wed,,,,,
Autumn 2025,,Gauss Exam,Wed,,,,,
Autumn 2025,,Senior Inter-house English Debate continues,Wed,,,,,
Autumn 2025,,Senior Inter-house English Debate Semi Final,Thu,,,,,
Autumn 2025,,Senior Inter-house English Debate Final,Fri,,,,,
Autumn 2025,,PD session for staff,Sat,,,,,
Autumn 2025,,Inter-house Music and Dance: Band and Western Vocal,Sat,,,,,
Autumn 2025,,OUTING,Sun,,,,,
Autumn 2025,,Yearbook photographs,Sun,,,,,
Autumn 2025,,Junior Inter-house English Debate begins,Mon,,,,,
Autumn 2025,,Final submission for B.G.Pitre Science Fiction,Mon,,,,,
Autumn 2025,,Library Council meeting,Tue,,,,,
Autumn 2025,,Asset test for D and C form (English),Tue,,,,,
Autumn 2025,,Workshop on Problem Solving for C form,Wed,,,,,
Autumn 2025,,"Team leaves for IPSC IT Fest at B. K. Birla Centre for Education, Pune",Wed,,,,,
Autumn 2025,,IBDP Program Development Meeting,Thu,,,,,
Autumn 2025,,Asset test for D and C form (Math),Thu,,,,,
Autumn 2025,,Workshop on Financial Literacy for B form,Thu,,,,,
Autumn 2025,,School Council meeting,Fri,,,,,
Autumn 2025,,Asset test for D and C form (Science),Fri,,,,,
Autumn 2025,,Tutorial Meeting,Sat,,,,,
Autumn 2025,,Inter-house Senior Quiz competition,Sat,,,,,
Autumn 2025,,Young Performers (Instrumental),Sat,,,,,
Autumn 2025,,In house training for Chairpersons and Deputy Chairpersons of DSMUN,Sun,,,,,
Autumn 2025,,Team returns from IPSC IT Fest,Sun,,,,,
Autumn 2025,,Call Over - Hyderabad House,Sun,,,,,
Autumn 2025,,Inter-house Hindi Debates (Sr) - First round,Mon,,,,,
Autumn 2025,,Workshop on Cyber Safety and Digital Wellbeing - B and S Form,Mon,,,,,
Autumn 2025,,"Council meetings (Study, Pastoral, Tech, Co-curricular, IAYP)",Tue,,,,,
Autumn 2025,,Workshop on Cyber Safety and Digital Wellbeing - B and S Form,Tue,,,,,
Autumn 2025,,"Team leaves for the Shri Debates at Shriram School, Moulsari",Tue,,,,,
Autumn 2025,,TOEFL,Wed,,,,,
Autumn 2025,,Junior Inter-house English Debate Finals,Wed,,,,,
Autumn 2025,,School team leaves for IPSC Basketball (Under 19) at The Mann School,Wed,,,,,
Autumn 2025,,Inter-house Hindi Debates (Sr) - Second round,Thu,,,,,
Autumn 2025,,Uttarakhand State shooting Championship-Dehradun,Thu,,,,,
Autumn 2025,,Inter-school Math Competition SIGMA,Fri,,,,,
Autumn 2025,,Inter-school Science competition ALPHA,Fri,,,,,
Autumn 2025,,Team returns from the Shri Debates,Fri,,,,,
Autumn 2025,,"Students leave for IPSC Dramatics Fest at EHIS, Indore",Fri,,,,,
Autumn 2025,,The Doon School Chess Tournament begins,Sat,,,,,
Autumn 2025,,Inter-school Math Competition SIGMA,Sat,,,,,
Autumn 2025,,Inter-school Science competition ALPHA,Sat,,,,,
Autumn 2025,,Shanti Swaroop Essay Contest begins,Sat,,,,,
Autumn 2025,,School team returns from IPSC Basketball,Sun,,,,,
Autumn 2025,,The Doon School Chess Tournament ends,Sun,,,,,
Autumn 2025,,Call Over - Jaipur House,Sun,,,,,
Autumn 2025,,Inter-house Football begins,Mon,,,,,
Autumn 2025,,Housemasters' Council Meeting,Tue,,,,,
Autumn 2025,,International Tiger Day,Tue,,,,,
Autumn 2025,,SPIC MACAY performance (TBC),Wed,,,,,
Autumn 2025,,Students return from IPSC Dramatics Fest,Wed,,,,,
